I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,protein,sample,feature
0.3029343114798542,0.0,0.0001122002,0.0,0.005,0.00011062406653191002,0.0,0.0,0.005,MS4A1-1,HCC22-088-P2-S2,MS4A1
0.26242199600850336,0.0,0.0001122002,0.0,0.005,7.696956878799255e-05,0.0,0.0,0.005,PTPRC-2,HCC22-088-P2-S2,PTPRC
0.2579495250628472,0.0,0.0001122002,0.0,0.005,9.138841982375984e-05,0.0,0.0,0.005,CD274-1,HCC22-088-P2-S2,CD274
0.2468707747209183,0.0,0.0001122002,0.0,0.005,8.336461576528903e-05,0.0,0.0,0.005,CD8A-1,HCC22-088-P2-S2,CD8A
0.22870491434142232,0.0,0.0001122002,0.0,0.005,7.659539754457005e-05,0.0,0.0,0.005,mouse_IgG2a,HCC22-088-P2-S2,mouse_IgG2a
0.21093778611670386,0.0,0.0001122002,0.0,0.005,8.247895179686008e-05,0.0,0.0,0.005,CXCR5-1,HCC22-088-P2-S2,CXCR5
0.18986077924769265,0.0,0.0001122002,0.0,0.005,8.218729648637293e-05,0.0,0.0,0.005,CEACAM8-1,HCC22-088-P2-S2,CEACAM8
0.17447714763878266,0.0,0.0001122002,0.0,0.005,7.591994636831924e-05,0.0,0.0,0.005,mouse_IgG2bk,HCC22-088-P2-S2,mouse_IgG2bk
0.15968552314518483,0.0,0.0001122002,0.0,0.005,8.656260102176818e-05,0.0,0.0,0.005,PAX5-1,HCC22-088-P2-S2,PAX5
0.1596210676204003,0.0,0.0001122002,0.0,0.005,7.427260358915303e-05,0.0,0.0,0.005,FCGR3A-1,HCC22-088-P2-S2,FCGR3A
0.7867061439883187,0.0,0.0013170234,0.0,0.005,0.002272365238592787,0.0,0.0,0.005303030303030303,VIM-1,HCC22-088-P3-S1_A,VIM
0.7013858418287836,0.0,0.0013170234,0.0,0.005,0.002325801057891027,0.0,0.0,0.005303030303030303,rat_IgG2a,HCC22-088-P3-S1_A,rat_IgG2a
0.6971412168709725,0.0,0.0013170234,0.0,0.005,0.001593756012056647,0.0,0.0,0.005303030303030303,HLA-DRA,HCC22-088-P3-S1_A,HLA
0.6649390541896993,0.0,0.0013170234,0.0,0.005,0.0021067444158507256,0.0,0.0,0.005303030303030303,PTPRC-2,HCC22-088-P3-S1_A,PTPRC
0.6526195184970709,0.0,0.0013170234,0.0,0.005,0.001851070251356082,0.0,0.0,0.005303030303030303,CR2-1,HCC22-088-P3-S1_A,CR2
0.6426246659953705,0.0,0.0013170234,0.0,0.005,0.001672784305112047,0.0,0.0,0.005303030303030303,PDCD1-1,HCC22-088-P3-S1_A,PDCD1
0.6234147230160477,0.0,0.0013170234,0.0,0.005,0.0020000471410197744,0.0,0.0,0.005303030303030303,PTPRC-1,HCC22-088-P3-S1_A,PTPRC
0.6095560454018611,0.0,0.0013170234,0.0,0.005,0.001597683906875065,0.0,0.0,0.005303030303030303,BCL2-1,HCC22-088-P3-S1_A,BCL2
0.5713614881290505,0.0,0.0013170234,0.0,0.005,0.0018838362972349192,0.0,0.0,0.005303030303030303,CD163-1,HCC22-088-P3-S1_A,CD163
0.5617342695302439,0.0,0.0013170234,0.0,0.005,0.0016756509642259832,0.0,0.0,0.005303030303030303,CCR7-1,HCC22-088-P3-S1_A,CCR7
0.5554696583701497,0.0,0.0013170234,0.0,0.005,0.0017064800225269077,0.0,0.0,0.005303030303030303,CD40-1,HCC22-088-P3-S1_A,CD40
0.5413032155175688,0.0,0.0013170234,0.0,0.005,0.0016200918725475524,0.0,0.0,0.005303030303030303,PECAM1-1,HCC22-088-P3-S1_A,PECAM1
0.5390486799826288,0.0,0.0013170234,0.0,0.005,0.0013503031377959844,0.0,0.0,0.005303030303030303,CXCR5-1,HCC22-088-P3-S1_A,CXCR5
0.5340677100798071,0.0,0.0013170234,0.0,0.005,0.0016483530593855897,0.0,0.0,0.005303030303030303,CD14-1,HCC22-088-P3-S1_A,CD14
0.5340449085555526,0.0,0.0013170234,0.0,0.005,0.0013340139469880643,0.0,0.0,0.005303030303030303,CD8A-1,HCC22-088-P3-S1_A,CD8A
0.5258440794634204,0.0,0.0013170234,0.0,0.005,0.0017835811777610565,0.0,0.0,0.005303030303030303,CD4-1,HCC22-088-P3-S1_A,CD4
0.5207960541175815,0.0,0.0013170234,0.0,0.005,0.0015562191788512142,0.0,0.0,0.005303030303030303,CD27-1,HCC22-088-P3-S1_A,CD27
0.517841795515426,0.0,0.0013170234,0.0,0.005,0.0014792439594389375,0.0,0.0,0.005303030303030303,CD68-1,HCC22-088-P3-S1_A,CD68
0.5074614317508392,0.0,0.0013170234,0.0,0.005,0.0013146267396668772,0.0,0.0,0.005303030303030303,ACTA2-1,HCC22-088-P3-S1_A,ACTA2
