sample,gene,r_pearson,r_spearman,n_spots
HCC22-088-P4-S2,CD19,-0.0038494875882874543,-0.0025944879202038024,4747
HCC22-088-P4-S2,MS4A1,0.03020141797188579,0.02821973436919421,4747
HCC22-088-P4-S2,EPCAM,0.14563754826259775,0.15304733955068275,4747
HCC22-088-P4-S2,PECAM1,0.13401994484245083,0.1312045180197915,4747
HCC22-088-P4-S2,VIM,0.1334365458162924,0.5241822444651735,4747
HCC22-088-P4-S2,KRT5,0.01837295040069709,0.012451341352696288,4747
HCC22-088-P4-S2,PCNA,0.1213659206772458,0.12991457768441333,4747
HCC22-088-P4-S2,CD274,0.019083842605111083,0.020176732577679088,4747
HCC22-088-P4-S2,PDCD1,-0.0344174217667611,-0.03962292789272155,4747
HCC22-088-P4-S2,ACTA2,0.3092267102373623,0.32873655297461546,4747
HCC22-088-P4-S2,BCL2,0.10007774525806842,0.10923653074969025,4747
HCC22-088-P4-S2,CD163,0.09528232706912955,0.09988203687112175,4747
HCC22-088-P4-S2,CR2,0.014131532409467386,0.014683819692978085,4747
HCC22-088-P4-S2,PAX5,0.02755473262441812,0.022100373363888724,4747
HCC22-088-P4-S2,SDC1,0.2125824406695411,0.17151294699618586,4747
HCC22-088-P4-S2,FCGR3A,0.02461329753797608,-0.0007992363727770844,4747
HCC22-088-P4-S2,ITGAX,0.09720585989230186,0.10030762164865595,4747
HCC22-088-P4-S2,ITGAM,-0.05418714022124038,-0.058100995516477696,4747
HCC22-088-P4-S2,CCR7,-0.026911191477514806,-0.026936149241297596,4747
HCC22-088-P4-S2,CD27,-0.022911983767151263,-0.025162608113269723,4747
HCC22-088-P4-S2,CXCR5,-0.0015338576488370219,0.01245287622618231,4747
HCC22-088-P4-S2_1i_rep,CD3E,0.015263425574534056,0.01542281532020717,2590
HCC22-088-P4-S2_1i_rep,CD4,-0.014513470404407931,-0.01992827035601789,2590
HCC22-088-P4-S2_1i_rep,CD8A,-0.014480990068583968,-0.013705637543959157,2590
