patient,metric,strategy,delta,rep
P1,score_Proliferation,random,-0.0068332135441725225,58.0
P1,score_T_cell_activity,random,-0.006973862932508729,58.0
P1,score_Myeloid_inflammation,random,-0.15514358837176723,58.0
P1,tumour_immune_contact,random,-0.10240963855421688,58.0
P1,frac_Tumour,random,0.09638554216867469,59.0
P1,frac_Immune,random,0.015060240963855422,59.0
P1,score_Estrogen_response,random,0.31746037177212516,59.0
P1,score_Proliferation,random,0.009488152556108012,59.0
P1,score_T_cell_activity,random,0.0024140516651203355,59.0
P1,score_Myeloid_inflammation,random,-0.12545792205753983,59.0
P1,tumour_immune_contact,random,-0.10391566265060243,59.0
P1,frac_Tumour,random,0.13403614457831325,60.0
P1,frac_Immune,random,0.03012048192771085,60.0
P1,score_Estrogen_response,random,0.3358976883005884,60.0
P1,score_Proliferation,random,0.0031515920173794797,60.0
P1,score_T_cell_activity,random,-0.007235726394447455,60.0
P1,score_Myeloid_inflammation,random,-0.1927948351185587,60.0
P1,tumour_immune_contact,random,-0.08433734939759037,60.0
P1,frac_Tumour,random,0.10843373493975904,61.0
P1,frac_Immune,random,0.01957831325301205,61.0
P1,score_Estrogen_response,random,0.31231551835181426,61.0
P1,score_Proliferation,random,-0.0054209806937267424,61.0
P1,score_T_cell_activity,random,-0.0001395808335049563,61.0
P1,score_Myeloid_inflammation,random,-0.12308460022191924,61.0
P1,tumour_immune_contact,random,-0.10391566265060243,61.0
P1,frac_Tumour,random,0.10843373493975904,62.0
P1,frac_Immune,random,0.01957831325301205,62.0
P1,score_Estrogen_response,random,0.3260732186350419,62.0
P1,score_Proliferation,random,-0.0025813468407868195,62.0
P1,score_T_cell_activity,random,-0.0055164430331154524,62.0
P1,score_Myeloid_inflammation,random,-0.15972479668170708,62.0
P1,tumour_immune_contact,random,-0.09487951807228917,62.0
P1,frac_Tumour,random,0.12650602409638556,63.0
P1,frac_Immune,random,0.015060240963855422,63.0
P1,score_Estrogen_response,random,0.3565194770116197,63.0
P1,score_Proliferation,random,-0.013013706430639234,63.0
P1,score_T_cell_activity,random,-0.003037037471870343,63.0
P1,score_Myeloid_inflammation,random,-0.1613286821133811,63.0
P1,tumour_immune_contact,random,-0.10240963855421688,63.0
P1,frac_Tumour,random,0.12951807228915663,64.0
P1,frac_Immune,random,0.015060240963855422,64.0
P1,score_Estrogen_response,random,0.3201426994906973,64.0
P1,score_Proliferation,random,-0.004452851564017989,64.0
P1,score_T_cell_activity,random,-0.00032109835061682216,64.0
P1,score_Myeloid_inflammation,random,-0.14186081615018556,64.0
P1,tumour_immune_contact,random,-0.09186746987951808,64.0
P1,frac_Tumour,random,0.11897590361445783,65.0
P1,frac_Immune,random,0.01656626506024097,65.0
P1,score_Estrogen_response,random,0.30895950125356164,65.0
P1,score_Proliferation,random,-0.00934790887764636,65.0
P1,score_T_cell_activity,random,-0.005991207189947725,65.0
P1,score_Myeloid_inflammation,random,-0.13951940751663924,65.0
P1,tumour_immune_contact,random,-0.10993975903614459,65.0
P1,frac_Tumour,random,0.1430722891566265,66.0
P1,frac_Immune,random,0.012048192771084341,66.0
P1,score_Estrogen_response,random,0.3300345663107037,66.0
P1,score_Proliferation,random,-0.0020181387071455652,66.0
P1,score_T_cell_activity,random,0.002151068371821599,66.0
P1,score_Myeloid_inflammation,random,-0.15047815713571938,66.0
P1,tumour_immune_contact,random,-0.10090361445783133,66.0
P1,frac_Tumour,random,0.125,67.0
P1,frac_Immune,random,0.012048192771084341,67.0
P1,score_Estrogen_response,random,0.33037346197572803,67.0
P1,score_Proliferation,random,-0.006618987465141858,67.0
P1,score_T_cell_activity,random,0.0016841584458408593,67.0
P1,score_Myeloid_inflammation,random,-0.129638981262005,67.0
P1,tumour_immune_contact,random,-0.09789156626506025,67.0
P1,frac_Tumour,random,0.11144578313253013,68.0
P1,frac_Immune,random,0.03012048192771085,68.0
P1,score_Estrogen_response,random,0.3055895974466142,68.0
P1,score_Proliferation,random,0.004160607997666378,68.0
P1,score_T_cell_activity,random,0.002968686707886347,68.0
P1,score_Myeloid_inflammation,random,-0.14816341319314308,68.0
P1,tumour_immune_contact,random,-0.06777108433734941,68.0
P1,frac_Tumour,random,0.08132530120481928,69.0
P1,frac_Immune,random,0.006024096385542167,69.0
P1,score_Estrogen_response,random,0.29801402862853377,69.0
P1,score_Proliferation,random,-0.0284753538238591,69.0
P1,score_T_cell_activity,random,-0.003148025822627496,69.0
P1,score_Myeloid_inflammation,random,-0.1149013558083988,69.0
P1,tumour_immune_contact,random,-0.088855421686747,69.0
P1,frac_Tumour,random,0.12951807228915663,70.0
P1,frac_Immune,random,0.021084337349397596,70.0
