sample,patient,treatment,ligand,receptor,category,interface_score,ref_score,n_interface
HCC22-088-P5-S1,P5,pre,IL1B,IL1R1,Immune->Tumour,0.0,0.0,313
HCC22-088-P5-S1,P5,pre,IFNG,IFNGR1,Immune->Tumour,0.0,0.0,313
HCC22-088-P5-S1,P5,pre,CSF1,CSF1R,Immune->Tumour,0.010507572,0.107028306,313
HCC22-088-P5-S1,P5,pre,MIF,CD74,Immune->Tumour,1.5506958,4.9510345,313
HCC22-088-P5-S1,P5,pre,CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.0,313
HCC22-088-P5-S1,P5,pre,LGALS9,HAVCR2,Immune->Immune(checkpoint),0.0,0.007093355,313
HCC22-088-P5-S1,P5,pre,CD40LG,CD40,Immune->Immune,0.0,0.0,313
HCC22-088-P5-S1,P5,pre,MDK,LRP1,Tumour->Immune,1.7233132,1.7702323,313
HCC22-088-P5-S1,P5,pre,MDK,ITGA6,Tumour->Immune,0.24894153,0.36651668,313
HCC22-088-P5-S1,P5,pre,TGFB1,TGFBR1,Tumour->Immune,0.022509957,0.021503111,313
HCC22-088-P5-S1,P5,pre,VEGFA,KDR,Tumour->Immune,0.08336598,0.443096,313
HCC22-088-P5-S1,P5,pre,VEGFA,FLT1,Tumour->Immune,0.2528847,0.28068075,313
HCC22-088-P5-S1,P5,pre,AREG,EGFR,Tumour->Immune,0.024057403,0.01567579,313
HCC22-088-P5-S1,P5,pre,HBEGF,EGFR,Tumour->Immune,0.0,0.0049121804,313
HCC22-088-P5-S1,P5,pre,CXCL12,CXCR4,Tumour->Immune,0.09244503,0.06591246,313
HCC22-088-P5-S1,P5,pre,CSF1,CSF1R,Tumour->Immune(myeloid),0.051541675,0.107028306,313
HCC22-088-P5-S1,P5,pre,PDGFB,PDGFRB,Tumour->Stroma,0.24775901,0.35847697,313
HCC22-088-P5-S1,P5,pre,FGF2,FGFR1,Tumour->Stroma,0.48648652,0.5485843,313
HCC22-088-P5-S1,P5,pre,COL1A1,SDC1,Stroma->Tumour,1.7021915,0.4528994,313
HCC22-088-P5-S2_F_rep,P5,post,CXCL10,CXCR3,Immune->Tumour,0.0,0.0,234
HCC22-088-P5-S2_F_rep,P5,post,CXCL9,CXCR3,Immune->Tumour,0.0,0.0,234
HCC22-088-P5-S2_F_rep,P5,post,CXCL11,CXCR3,Immune->Tumour,0.0,0.0,234
HCC22-088-P5-S2_F_rep,P5,post,CCL5,CCR5,Immune->Tumour,0.0,0.0025158,234
HCC22-088-P5-S2_F_rep,P5,post,CCL2,CCR2,Immune->Tumour,0.0,0.0,234
HCC22-088-P5-S2_F_rep,P5,post,CCL3,CCR1,Immune->Tumour,0.0135728875,0.00023377032,234
HCC22-088-P5-S2_F_rep,P5,post,TNF,TNFRSF1A,Immune->Tumour,0.0,0.018644141,234
HCC22-088-P5-S2_F_rep,P5,post,IL1B,IL1R1,Immune->Tumour,0.05911047,0.08032914,234
HCC22-088-P5-S2_F_rep,P5,post,IFNG,IFNGR1,Immune->Tumour,0.0,0.0,234
HCC22-088-P5-S2_F_rep,P5,post,CSF1,CSF1R,Immune->Tumour,0.038179565,0.12859736,234
HCC22-088-P5-S2_F_rep,P5,post,MIF,CD74,Immune->Tumour,6.9617505,8.280738,234
HCC22-088-P5-S2_F_rep,P5,post,CD274,PDCD1,Immune->Immune(checkpoint),0.0,0.0,234
HCC22-088-P5-S2_F_rep,P5,post,LGALS9,HAVCR2,Immune->Immune(checkpoint),0.04544616,0.041765437,234
HCC22-088-P5-S2_F_rep,P5,post,CD40LG,CD40,Immune->Immune,0.0070808283,0.00023835711,234
HCC22-088-P5-S2_F_rep,P5,post,MDK,LRP1,Tumour->Immune,2.7554562,1.9604889,234
HCC22-088-P5-S2_F_rep,P5,post,MDK,ITGA6,Tumour->Immune,1.8649087,1.4811182,234
HCC22-088-P5-S2_F_rep,P5,post,TGFB1,TGFBR1,Tumour->Immune,0.08611083,0.033968754,234
HCC22-088-P5-S2_F_rep,P5,post,VEGFA,KDR,Tumour->Immune,0.578179,0.052765667,234
HCC22-088-P5-S2_F_rep,P5,post,VEGFA,FLT1,Tumour->Immune,0.28635883,0.23004803,234
HCC22-088-P5-S2_F_rep,P5,post,AREG,EGFR,Tumour->Immune,0.0,0.007006747,234
HCC22-088-P5-S2_F_rep,P5,post,HBEGF,EGFR,Tumour->Immune,0.0,0.00024634495,234
HCC22-088-P5-S2_F_rep,P5,post,CXCL12,CXCR4,Tumour->Immune,0.42161626,0.36899564,234
HCC22-088-P5-S2_F_rep,P5,post,CSF1,CSF1R,Tumour->Immune(myeloid),0.2646046,0.12859736,234
HCC22-088-P5-S2_F_rep,P5,post,PDGFB,PDGFRB,Tumour->Stroma,0.10764471,0.112192586,234
HCC22-088-P5-S2_F_rep,P5,post,FGF2,FGFR1,Tumour->Stroma,0.0,0.014804091,234
HCC22-088-P5-S2_F_rep,P5,post,COL1A1,SDC1,Stroma->Tumour,2.6906843,2.9315705,234
