gene,mean,median,I_Q25,count
EGR1,0.12297727388148849,0.0969716816966769,0.03973129764027405,14
PDK4,0.12277608386857368,0.0988337842524023,0.04133503219090622,14
NELL2,0.12269600195366222,0.06884825820285326,0.018498493163004455,14
ADCY1,0.12164767736802908,0.07454495858253318,0.048186555325891056,14
CAPG,0.1211709009744548,0.07289161704775557,0.042678341350289244,14
ATP1B1,0.12114270687509972,0.1139586420993673,0.05369545113075908,14
HBB,0.12096174033581855,0.12202015307471185,0.022886049499076803,14
LRP1B,0.12079084345683318,0.058946110614967975,0.01631595660691839,14
PPT1,0.12074529486336413,0.11173870194106669,0.04646465242523368,14
DDR1,0.12061915576461105,0.13320199550170758,0.03699104020039226,14
GALNT7,0.12042706971700241,0.08405541878665398,0.062212933327186706,14
CCN1,0.1203492810515117,0.11470438531889521,0.04355427346019565,14
SYNGR2,0.12033788068143134,0.1041938676908734,0.0673309258333862,14
LOXL1,0.12010821368892532,0.08192255681171015,0.04448600853617441,14
SERPINA1,0.11997659118265022,0.06176996744762123,0.016073146950654656,14
MS4A7,0.11984285502090283,0.12437341548509184,0.03739938100192801,14
LRBA,0.11975004214460198,0.0992149360648952,0.0431661894611872,14
PBX1,0.11966043778906864,0.11254337458951419,0.05628577904343879,14
LONRF2,0.11961654468958163,0.0596237425196543,0.04590170919597689,14
C1R,0.11940933452499371,0.07248813653679093,0.032826098993606646,14
FARP1,0.1192485909705616,0.0803421864275203,0.04787780128248681,14
PTPRF,0.11916669877319681,0.13884314407682272,0.06779004441750089,14
DNAJC1,0.1191400687727817,0.07443050875359683,0.05518421912422074,14
PI15,0.11913413803304813,0.06606984578477312,0.00415199348217662,14
CNN1,0.11913085302111888,0.05804376820456057,0.03964288336073471,14
KLHDC2,0.11910916077466607,0.11115346317460054,0.05929054530357044,14
TPD52L1,0.11895789737938423,0.07471021472024697,0.026948815885135927,14
RERG,0.1187588276172833,0.08955745480718783,0.03730544194696088,14
TYROBP,0.11875282084365078,0.07585726489344186,0.031424054487028195,14
ACTG2,0.11874483501478335,0.07162494032623867,0.02220117534386279,14
RAB3IP,0.11873965971669868,0.09393466547597848,0.057161421342516804,14
BCAM,0.1183971452011149,0.1231185389039903,0.07911881029417113,14
CASZ1,0.11817092108603951,0.11269587127898748,0.09541867729731979,14
MMP13,0.11797599236294201,0.0826139595872992,,13
ITPR2,0.11781900634574136,0.11072723764621721,0.06257567927683128,14
NR4A1,0.11774767572605047,0.11337044654464751,0.003176750004445305,14
ANPEP,0.11770415468741947,0.07515140667326872,0.0511937982758156,14
HOXB3,0.11747285647130666,0.015535526928135965,-0.004081915006218781,14
ZFP36,0.11718115438581876,0.1160996472350211,0.027470113284129075,14
ITGB8,0.11714473141956423,0.07886805202226554,0.03682871313643138,14
RAB25,0.11711302362892208,0.1075826095181416,0.055340826977428044,14
ZBTB18,0.11710876502910328,0.09210824441157994,0.05964868522865535,14
APP,0.11709783846575872,0.11005260136370076,0.07911511234453623,14
IGFBP2,0.11699316591554125,0.07784802983803643,0.040183858586059364,14
FAP,0.1168041209185496,0.07812652288195954,0.037996616360167226,14
MAPT,0.11677642950450909,0.08383562471009087,0.03923964151628868,14
CCNG2,0.11650109348546746,0.09504666429903652,0.06592329477520037,14
NPC2,0.1164927338196354,0.09449000986290484,0.033500991818540486,14
SLC25A16,0.11639065911832676,0.0917441532379512,0.06951016996731443,14
RHPN1,0.11630437649223706,0.09189192666911322,0.049574720415814594,14
TNXB,0.11630007400478905,0.08319882832943173,0.032738467454301305,14
MT-ND6,0.11626056838486976,0.11050315690856834,0.0649669552400714,14
CHPT1,0.11616802818179468,0.07917833305856038,0.06238719132442156,14
MMP14,0.11606677479572418,0.12194305333955108,0.044784655609529794,14
ESRP2,0.11601324148707523,0.08207425072181518,0.04004809230371299,14
DUSP4,0.11600631861865159,0.09469374077878207,0.054155175160788216,14
SULF2,0.11592166507723838,0.11287489898773168,0.03986906409163582,14
EFHD1,0.11584549611025796,0.08738207959533394,0.06692279237404528,14
HOXB4,0.11567095746472535,0.022023335313122783,-0.004521787351136201,14
ARHGDIB,0.11544040876809876,0.11184238903067308,0.046689286755142806,14
CD4,0.11537699451204944,0.07311773514643535,0.028161202654728587,14
GP2,0.115353167445009,0.12308774908393719,0.04965316419618809,14
PRSS23,0.11523106395328069,0.10997816119222167,0.06354410831302786,14
OCLN,0.11518692591726486,0.0634020155562173,0.046098867868848654,14
INPP4B,0.11488011980382173,0.06970296892765832,0.035816233511565626,14
CSRP1,0.11475336484618526,0.08966896919026963,0.05420603413632248,14
C1QA,0.11466485881146146,0.08949495880749198,0.029861870261557337,14
MYL9,0.11462343186331966,0.12084385944970458,0.08045889504648986,14
IKBKB,0.11461263314498997,0.11500297764448719,0.06337875298028087,14
NPDC1,0.11450896260254742,0.09634048918533608,0.038639956529871705,14
REL,0.1144732267796085,0.10202105196623436,0.049304036510022894,14
KDM4B,0.11445632471297791,0.11206505764045216,0.05556085141064924,14
FAM214A,0.11366550861083435,0.10131378917853123,0.064433020250874,14
SPI1,0.1135656976046483,0.08597890340049233,0.03772749921635131,14
FSTL1,0.11342917904190805,0.10747701722558498,0.08582043479274834,14
CCNL2,0.11342544643817185,0.10649637680568873,0.05943649565087983,14
LGMN,0.11328276262557349,0.10154682126048532,0.03438413004532372,14
GLI3,0.11311555110904047,0.09387044058956603,0.04095057850337551,14
RGS1,0.11304164637873455,0.07501920911928689,0.04174256983077204,14
